N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
176.0,KODEX 2차전지산업,18595.0,0.0,0.00%,0.0,12570.0,67600.0,0.2,1164181.0,,
177.0,현대백화점,53600.0,100.0,-0.19%,5000.0,12544.0,23402.0,22.38,33400.0,5.87,4.36
178.0,효성티앤씨,285000.0,15500.0,+5.75%,5000.0,12334.0,4328.0,9.78,22681.0,2.52,76.22
179.0,DL,58800.0,1800.0,+3.16%,5000.0,12322.0,20956.0,9.31,48887.0,7.92,26.52
180.0,대덕전자,24700.0,1100.0,+4.66%,500.0,12206.0,49417.0,19.24,838489.0,9.59,9.55
181.0,롯데제과,129000.0,2500.0,-1.90%,500.0,12171.0,9435.0,14.62,6334.0,25.05,2.88
182.0,KODEX 종합채권(AA-이상)액티브,98785.0,440.0,+0.45%,0.0,12096.0,12245.0,0.0,64332.0,,
183.0,영풍,654000.0,5000.0,-0.76%,5000.0,12047.0,1842.0,3.79,1499.0,6.72,3.66
184.0,현대일렉트릭,33150.0,1050.0,+3.27%,5000.0,11950.0,36047.0,11.09,236587.0,-25.02,-5.08
185.0,코오롱인더,43350.0,250.0,+0.58%,5000.0,11930.0,27519.0,17.32,75504.0,6.87,8.2
186.0,TIGER 2차전지테마,17540.0,70.0,+0.40%,0.0,11866.0,67650.0,0.13,747051.0,,
187.0,DGB금융지주,7000.0,0.0,0.00%,5000.0,11840.0,169146.0,45.76,303616.0,2.32,9.63
188.0,한미반도체,11950.0,0.0,0.00%,100.0,11821.0,98920.0,5.34,231431.0,10.47,34.59
189.0,한국앤컴퍼니,12150.0,150.0,+1.25%,500.0,11535.0,94935.0,9.2,52754.0,5.1,5.53
190.0,롯데리츠,4705.0,55.0,-1.16%,500.0,11432.0,242969.0,10.88,290416.0,60.32,1.65
191.0,삼천리,278500.0,10000.0,-3.47%,5000.0,11293.0,4055.0,14.7,37614.0,15.03,4.52
192.0,대웅,19050.0,450.0,-2.31%,500.0,11076.0,58142.0,4.47,39668.0,9.82,11.13
193.0,롯데렌탈,30200.0,100.0,-0.33%,5000.0,11063.0,36634.0,4.77,28473.0,7.4,12.28
194.0,후성,11900.0,100.0,-0.83%,500.0,11020.0,92607.0,7.55,632868.0,14.78,9.61
195.0,KODEX 단기채권,103825.0,5.0,0.00%,0.0,10881.0,10480.0,0.52,1854474.0,,
196.0,동국제강,11250.0,300.0,-2.60%,5000.0,10736.0,95433.0,23.16,485481.0,1.36,23.41
197.0,일진하이솔루스,29500.0,350.0,+1.20%,500.0,10712.0,36313.0,1.28,52393.0,119.92,4.97
198.0,SK가스,113500.0,2000.0,-1.73%,5000.0,10476.0,9230.0,4.97,8108.0,4.46,12.41
199.0,신풍제약,19450.0,150.0,+0.78%,500.0,10306.0,52985.0,6.38,128766.0,-45.98,-3.19
200.0,솔루스첨단소재,29150.0,250.0,-0.85%,100.0,10235.0,35111.0,5.92,74541.0,130.72,4.0
201.0,KBSTAR 200,28920.0,205.0,+0.71%,0.0,10079.0,34850.0,0.05,156012.0,,
202.0,TIGER MSCI Korea TR,11865.0,45.0,+0.38%,0.0,9990.0,84200.0,0.02,50.0,,
203.0,PI첨단소재,33200.0,400.0,+1.22%,500.0,9750.0,29366.0,9.42,55536.0,17.29,21.03
204.0,SK네트웍스,3865.0,40.0,-1.02%,2500.0,9592.0,248188.0,10.35,251779.0,19.72,4.64
205.0,ESR켄달스퀘어리츠,4480.0,150.0,-3.24%,1000.0,9546.0,213089.0,52.52,112680.0,30.68,3.24
206.0,한샘,40100.0,50.0,+0.12%,1000.0,9437.0,23534.0,14.2,33041.0,30.85,9.1
207.0,SK리츠,4780.0,65.0,-1.34%,500.0,9395.0,196554.0,2.72,98865.0,86.91,
208.0,아이에스동서,30300.0,1550.0,+5.39%,500.0,9360.0,30893.0,5.98,81578.0,4.17,8.69
209.0,현대엘리베이,22900.0,750.0,+3.39%,5000.0,9347.0,40815.0,29.78,71692.0,5.35,10.62
210.0,GKL,14950.0,150.0,-0.99%,500.0,9247.0,61856.0,2.76,139267.0,-12.08,-26.04
211.0,KODEX 코스닥150레버리지,6125.0,105.0,+1.74%,0.0,9230.0,150700.0,0.32,31042263.0,,
212.0,오리온홀딩스,14650.0,350.0,-2.33%,500.0,9178.0,62645.0,5.4,43847.0,9.15,4.23
213.0,현대두산인프라코어,4590.0,70.0,+1.55%,1000.0,9077.0,197763.0,6.24,699892.0,1.84,24.63
214.0,덴티움,81800.0,300.0,+0.37%,500.0,9054.0,11069.0,22.48,51852.0,10.73,21.29
215.0,금호타이어,3140.0,100.0,+3.29%,5000.0,9020.0,287260.0,4.05,306862.0,-11.5,-6.08
216.0,종근당,75200.0,700.0,-0.92%,2500.0,9015.0,11988.0,7.12,10965.0,20.35,7.65
217.0,미원에스씨,176500.0,500.0,-0.28%,500.0,9002.0,5100.0,0.54,1443.0,10.45,27.2
218.0,KODEX 인버스,5355.0,40.0,-0.74%,0.0,8996.0,168000.0,1.54,31291851.0,,
219.0,더존비즈온,29400.0,150.0,+0.51%,500.0,8933.0,30383.0,23.84,39660.0,22.55,12.1
220.0,솔루엠,17800.0,0.0,0.00%,500.0,8901.0,50006.0,10.97,77873.0,41.59,6.94
221.0,코리안리,7340.0,100.0,-1.34%,500.0,8835.0,120369.0,29.51,139935.0,8.17,6.16
222.0,신세계인터내셔날,24700.0,250.0,-1.00%,1000.0,8818.0,35700.0,6.62,81100.0,8.86,12.11
223.0,동원산업,239000.0,2500.0,+1.06%,5000.0,8790.0,3678.0,8.82,4921.0,4.21,12.59
224.0,아시아나항공,11650.0,450.0,+4.02%,5000.0,8669.0,74412.0,6.85,331062.0,-3.12,-47.21
225.0,제이알글로벌리츠,4335.0,35.0,-0.80%,1000.0,8556.0,197376.0,9.8,338876.0,56.3,1.65
226.0,명신산업,16250.0,50.0,-0.31%,500.0,8526.0,52470.0,2.79,237110.0,15.85,18.85
227.0,더블유게임즈,46200.0,50.0,-0.11%,500.0,8489.0,18375.0,10.0,44814.0,13.49,16.5
228.0,금양,14500.0,950.0,-6.15%,500.0,8417.0,58050.0,1.2,2855063.0,46.77,13.57
229.0,TKG휴켐스,20250.0,50.0,-0.25%,1000.0,8278.0,40879.0,6.59,56600.0,10.81,11.06
230.0,미원상사,166500.0,3500.0,-2.06%,500.0,8275.0,4970.0,2.54,1263.0,12.76,20.49
231.0,하나투어,51200.0,600.0,+1.19%,500.0,8212.0,16039.0,6.68,65308.0,-34.74,-39.92
232.0,이노션,40600.0,1000.0,-2.40%,500.0,8120.0,20000.0,31.31,15551.0,14.12,8.29
233.0,유니드,91200.0,7000.0,+8.31%,5000.0,8108.0,8890.0,11.68,66047.0,5.51,20.51
234.0,KG스틸,8100.0,0.0,0.00%,5000.0,8101.0,100009.0,3.8,411155.0,3.37,17.99
235.0,코스모화학,23050.0,300.0,+1.32%,1000.0,8069.0,35008.0,2.9,695977.0,44.5,7.89
236.0,동양생명,4945.0,5.0,+0.10%,5000.0,7979.0,161359.0,81.8,60564.0,3.51,
237.0,삼성 레버리지 WTI원유 선물 ETN,1960.0,100.0,-4.85%,0.0,7918.0,404000.0,0.0,755322.0,,
238.0,진원생명과학,10150.0,50.0,+0.50%,1000.0,7892.0,77752.0,13.79,593988.0,-32.22,-10.5
239.0,태광산업,708000.0,12000.0,-1.67%,5000.0,7883.0,1113.0,5.41,248.0,4.64,8.77
